objective,300.54852851950795
runtime (milliseconds),161753
x,0,19,1.0
x,0,29,1.0
u,0,700.0
Y,0,77.75
Y,1,77.75
Y,2,77.75
Y,3,77.75
Y,4,77.75
x,5,30,1.0
tau,5,470.9924467786964
u,5,610.0
y,5,14.951709619804632
Y,5,42.904661317027035
Y,6,77.75
x,7,5,1.0
tau,7,470.9924467786964
u,7,610.0
y,7,14.951709619804632
Y,7,14.951709619804632
x,8,7,1.0
tau,8,470.9924467786964
u,8,610.0
y,8,14.951709619804632
Y,8,14.951709619804632
x,9,12,1.0
Y,10,77.75
x,11,23,1.0
tau,11,1157.0
u,11,670.0
Y,11,77.75
x,12,9,1.0
x,13,14,1.0
tau,13,1182.0
u,13,20.0
x,14,16,1.0
tau,14,1182.0
u,14,20.0
x,15,20,1.0
tau,15,1312.1508886554154
u,15,20.0
Y,15,63.23501110635941
x,16,15,1.0
tau,16,1312.1508886554154
u,16,20.0
x,17,26,1.0
tau,17,3103.56602159979
u,17,40.0
y,17,16.43397840021018
x,18,32,1.0
tau,18,3290.0
u,18,10.0
y,18,10.0
x,19,31,1.0
tau,19,79.0
u,19,700.0
y,19,46.94415639850128
x,20,32,1.0
tau,20,1579.0
u,20,20.0
y,20,15.811388300841898
x,21,13,1.0
tau,21,1082.0
u,21,30.0
y,21,10.0
x,22,24,1.0
tau,22,276.2065556157336
u,22,660.0
y,22,29.737600782767572
x,23,17,1.0
tau,23,2020.0
u,23,60.0
y,23,37.647181835806606
x,24,8,1.0
tau,24,377.3868955032326
u,24,630.0
y,24,18.557260895268627
x,25,11,1.0
tau,25,1056.0
u,25,680.0
y,25,25.019049035542423
x,26,18,1.0
tau,26,3197.171572875254
u,26,30.0
y,26,12.828427124746185
x,27,25,1.0
tau,27,802.0
u,27,690.0
y,27,53.19705464275316
x,28,21,1.0
tau,28,888.0
u,28,40.0
y,28,15.0
x,29,27,1.0
tau,29,17.0
u,29,700.0
y,29,61.19705464275316
x,30,28,1.0
tau,30,578.8058429944499
u,30,70.0
y,30,32.088007490635064
x,31,22,1.0
tau,31,174.0
u,31,680.0
y,31,41.94415639850128
tau,32,3390.0
