objective,152.6712636186654
runtime (milliseconds),2264
x,0,10,1.0
x,0,14,1.0
x,6,11,1.0
x,7,12,1.0
x,10,1,1.0
x,11,13,1.0
x,12,6,1.0
x,13,3,1.0
x,14,7,1.0
x,1,15,1.0
x,3,15,1.0
tau,1,115.69771560359212
y,2,15.157499999999999
Y,2,15.157499999999999
tau,3,538.811388300842
Y,3,15.157500000000004
tau,4,1000.0
y,4,15.1575
Y,4,15.1575
tau,5,1000.0
y,5,15.1575
Y,5,15.1575
tau,6,449.16430743858336
y,6,15.1575
Y,6,51.72768849816015
tau,7,127.0
y,7,16.06329494575577
Y,7,31.95378775606084
y,8,51.5355
Y,8,51.5355
y,9,51.5355
Y,9,51.5355
tau,10,86.0
tau,11,484.97224362268
tau,12,149.34656125561054
tau,13,513.0
tau,14,104.0
y,1,12.14006278867543
Y,1,15.157500000000004
tau,15,1000.0
u,0,1000.0
u,4,1000.0
u,6,967.0
u,7,975.0
u,10,14.0
u,11,967.0
u,12,975.0
u,13,12.0
u,14,1000.0
Y,0,60.63
y,10,31.83777839226778
y,11,33.83914467816183
y,12,17.3935679774998
y,13,15.811388300841891
y,14,29.063294945755764
zH,0,10,-6.000806678506021E-6
zL,1,3.0174372113245678
zL,3,15.1575
zH,6,0.1921884981601476
