objective,247.14970649404415
runtime (milliseconds),547
route1:
location, arrival time, cargo remaining, battery upon arrival, battery upon departure
1,0.0,40.0,0.0,44.16162805961777
5,191.31971489619318,40.0,6.082762530298226,6.082762530298226
2,287.4024774264914,20.0,0.0,62.099689828248245
6,744.0,20.0,38.078865529319614,38.078865529319614
0,1236.0,0.0,0.0,0.0
route2:
location, arrival time, cargo remaining, battery upon arrival, battery upon departure
3,24.020824298928574,40.0,9.60471614926457,75.63650805107301
8,263.0,40.0,65.78765024927691,65.78765024927691
7,737.0,30.0,29.732137494637016,29.732137494637016
0,1236.0,0.0,0.0,0.0
route3:
location, arrival time, cargo remaining, battery upon arrival, battery upon departure
4,355.0,10.0,20.6155281280883,20.6155281280883
0,1236.0,0.0,0.0,0.0
route4:
location, arrival time, cargo remaining, battery upon arrival, battery upon departure
0,1236.0,0.0,0.0,0.0
