objective,163.81337345645412
runtime (milliseconds),31
Y,0,60.63
y,1,51.5355
Y,1,51.5355
y,2,15.1575
Y,2,15.157499999999999
y,3,51.5355
Y,3,51.5355
y,4,51.5355
Y,4,51.5355
tau,5,593.2752850633884
y,5,15.1575
Y,5,51.5355
y,6,51.5355
Y,6,51.5355
tau,7,541.2074368738204
y,7,0.41924497165940977
Y,7,51.5355
y,8,51.5355
Y,8,51.5355
y,9,51.5355
Y,9,51.5355
y,10,51.5355
Y,10,51.5355
y,11,51.5355
Y,11,51.5355
tau,12,158.06888370749732
Y,12,52.540961750500216
y,13,51.5355
Y,13,51.5355
y,14,51.5355
Y,14,51.5355
y,15,51.5355
Y,15,51.5355
y,16,51.5355
Y,16,51.5355
tau,17,86.0
y,17,31.83778439640779
tau,18,507.0
y,18,24.626681845479816
tau,19,513.0
y,19,26.359415642068655
tau,20,357.0
y,20,45.210944679663235
tau,21,621.0
y,21,41.63600506338833
tau,22,809.0
y,22,24.171755866815353
tau,23,448.0
y,23,39.087337703426506
tau,24,104.0
y,24,34.068883707497264
tau,25,642.0
y,25,12.041594578792298
tau,26,143.06888370749732
y,26,5.0
tau,27,1000.0
zL,22,27,8.449993329757625
zH,0,24,5.0055887617415
zL,25,27,15.1575
zL,7,14.73825502834059
zL,12,15.1575
zH,12,1.005461750500217
