objective,55.73803080920138
runtime (milliseconds),31
Y,0,60.63
y,1,51.5355
Y,1,51.5355
y,2,51.5355
Y,2,51.5355
y,3,51.5355
Y,3,51.5355
y,4,51.535500000000006
Y,4,51.535500000000006
y,5,51.5355
Y,5,51.5355
y,6,51.5355
Y,6,51.5355
tau,7,119.07360049854626
y,7,15.1575
Y,7,15.1575
tau,8,77.91117773329131
Y,8,15.1575
tau,9,85.33835273329132
y,9,15.1575
Y,9,15.1575
y,10,51.5355
Y,10,51.5355
tau,11,119.07360049854626
y,11,15.1575
Y,11,55.20557948950262
y,12,51.5355
Y,12,51.5355
y,13,51.5355
Y,13,51.5355
y,14,51.5355
Y,14,51.5355
tau,15,438.1980390271856
Y,15,42.625332048187545
y,16,51.5355
Y,16,51.5355
y,17,51.5355
Y,17,51.5355
y,18,51.5355
Y,18,51.5355
y,19,51.5355
Y,19,51.5355
tau,20,496.55228377898493
y,20,15.1575
Y,20,51.5355
y,21,51.5355
Y,21,51.5355
tau,22,19.104973174542806
y,22,32.43052682545721
Y,22,54.641688646843264
y,23,51.5355
Y,23,51.5355
y,24,51.5355
Y,24,51.5355
y,25,51.5355
Y,25,51.5355
y,26,51.5355
Y,26,51.5355
tau,27,114.63013111386523
Y,27,51.5355
y,28,51.5355
Y,28,51.5355
y,29,51.5355
Y,29,51.5355
y,30,51.5355
Y,30,51.5355
y,31,51.5355
Y,31,51.5355
y,32,51.5355
Y,32,51.5355
y,33,51.5355
Y,33,51.5355
y,34,51.5355
Y,34,51.5355
y,35,51.5355
Y,35,51.5355
tau,36,259.64331697709326
y,36,8.290712514171311
Y,36,56.695642568942525
tau,37,25.553864678361265
y,37,32.35731305492998
tau,38,42.79469094188768
y,38,41.83544017197757
tau,39,233.0
y,39,24.934029491264553
tau,40,63.611344768279665
y,40,31.018786345585596
tau,41,532.0
y,41,55.28142900656943
tau,42,782.0
y,42,28.861739379323623
tau,43,57.094523906899326
y,43,10.81665382639197
tau,44,744.0
y,44,30.82413161102793
tau,45,568.0
y,45,43.47324225170145
tau,46,182.0
y,46,21.90273893790519
tau,47,477.3327393216921
y,47,24.37704445729289
tau,48,418.0
y,48,10.198039027185565
tau,49,93.8598014995962
y,49,10.77032961426901
tau,50,209.39852949126453
y,50,38.5355
tau,51,147.24116319372013
y,51,46.661575744185086
tau,52,1000.0
zH,0,37,6.375677733291255
zL,42,52,15.1575
zL,44,52,7.355097255414748
zL,8,15.1575
zH,11,3.670079489502619
zL,15,15.1575
zH,22,3.1061886468432647
zL,27,15.1575
zL,36,6.86678748582869
zH,36,5.1601425689425255
