objective,306.08763262752484
runtime (milliseconds),15
Y,0,77.75
y,1,66.08749999999999
Y,1,66.08749999999999
y,2,66.08749999999999
Y,2,66.08749999999999
y,3,66.08749999999999
Y,3,66.08749999999999
y,4,66.08749999999999
Y,4,66.08749999999999
tau,5,90.78277547547654
y,5,19.4375
Y,5,65.8628408071038
tau,6,83.20215047547654
Y,6,19.4375
y,7,66.08749999999999
Y,7,66.08749999999999
tau,8,90.78277547547654
y,8,19.4375
Y,8,19.4375
tau,9,109.31782106327634
y,9,7.152048888096985
Y,9,66.08749999999999
y,10,66.08749999999999
Y,10,66.08749999999999
y,11,66.08749999999999
Y,11,66.08749999999999
y,12,66.08749999999999
Y,12,66.08749999999999
y,13,66.08749999999999
Y,13,66.08749999999999
y,14,66.08749999999999
Y,14,66.08749999999999
y,15,66.08749999999999
Y,15,66.08749999999999
tau,16,165.31399919735082
y,16,19.4375
Y,16,61.49698168962618
tau,17,113.0
y,17,19.646882704388503
tau,18,57.0
y,18,39.16167596432747
tau,19,85.0
y,19,21.46986995137334
tau,20,53.0
y,20,39.49631594566771
tau,21,200.0
y,21,26.947541685831062
tau,22,170.0
y,22,44.06478445445475
tau,23,137.31399919735082
y,23,37.4375
tau,24,116.0
y,24,33.52610922848042
tau,25,20.0
y,25,49.14660858029373
tau,26,36.0
y,26,37.20215047547655
tau,27,240.0
zL,17,27,19.4375
zH,0,20,11.144740473894139
zL,21,27,10.517714691488884
zL,24,27,19.4375
zH,0,25,3.0591085802937386
zH,0,26,6.455844569621142
zL,6,19.4375
zL,9,12.285451111903015
