objective,50.69388235940151
runtime (milliseconds),63
Y,0,77.75
y,1,66.08749999999999
Y,1,66.08749999999999
y,2,66.08749999999999
Y,2,66.08749999999999
y,3,66.08749999999999
Y,3,66.08749999999999
y,4,66.08749999999999
Y,4,66.08749999999999
y,5,66.08749999999999
Y,5,66.08749999999999
y,6,66.08749999999999
Y,6,66.08749999999999
tau,7,349.3736962753768
y,7,19.4375
Y,7,77.75
tau,8,300.8328677803527
y,8,5.448788618148669
Y,8,19.4375
y,9,66.08749999999999
Y,9,66.08749999999999
y,10,66.08749999999999
Y,10,66.08749999999999
y,11,66.08749999999999
Y,11,66.08749999999999
y,12,66.08749999999999
Y,12,66.08749999999999
y,13,66.08749999999999
Y,13,66.08749999999999
y,14,66.08749999999999
Y,14,66.08749999999999
tau,15,837.605551275464
y,15,15.824110702853474
Y,15,52.324345564764165
y,16,66.08749999999999
Y,16,66.08749999999999
tau,17,964.3245553203367
y,17,12.85085420866098
Y,17,19.4375
tau,18,987.180216216283
y,18,19.4375
Y,18,62.1926166528639
tau,19,840.6386916524726
y,19,19.4375
Y,19,25.499964849334493
tau,20,805.2597140480545
y,20,9.241829220628794
Y,20,19.4375
y,21,66.08749999999999
Y,21,66.08749999999999
y,22,66.08749999999999
Y,22,66.08749999999999
y,23,66.08749999999999
Y,23,66.08749999999999
y,24,66.08749999999999
Y,24,66.08749999999999
y,25,66.08749999999999
Y,25,66.08749999999999
tau,26,181.0
y,26,35.28165639850127
tau,27,667.0
y,27,57.50154326868341
tau,28,584.0
y,28,51.99546370191581
tau,29,1042.0
y,29,30.805843601498722
tau,30,330.0
y,30,28.0319872453601
tau,31,744.0
y,31,19.42966197831747
tau,32,868.0
y,32,19.175409528997736
tau,33,263.0
y,33,48.97025723137631
tau,34,989.0
y,34,27.585711811058204
tau,35,177.0
y,35,30.0319872453601
tau,36,1236.0
zH,0,28,4.018733978190653
zL,29,36,19.4375
zL,34,36,16.20337951271364
zH,7,11.662500000000001
zL,8,13.988711381851331
zL,15,3.613389297146526
zL,17,6.58664579133902
zL,20,10.195670779371206
